"";"CR";"AB";"pop";"EVI_mean";"SVIproximal";"SGVIproximal";"SUVIproximal";"SVIdistal";"SGVIdistal";"SUVIdistal"
"CR";1;0,460419010350415;-0,380944250174842;0,678337088654334;0,444861682695973;0,699534386104443;-0,745545400489801;0,31905305439191;0,702888138603825;-0,720145722957993
"AB";0,460419010350415;1;-0,397067282859071;0,423842309693915;0,465704666465271;0,272320509715247;-0,491122128318671;0,396380244333918;0,206463390049487;-0,347188252873644
"pop";-0,380944250174842;-0,397067282859071;1;-0,350305693972597;-0,300505275119566;-0,324871598765335;0,441680995607915;-0,230900839444104;-0,314937073185468;0,382145474199397
"EVI_mean";0,678337088654334;0,423842309693915;-0,350305693972597;1;0,421330303789743;0,656998316605459;-0,691861077580038;0,248962163984687;0,575574749833174;-0,571193616747135
"SVIproximal";0,444861682695973;0,465704666465271;-0,300505275119566;0,421330303789743;1;0,0569403119944373;-0,833284151244869;0,692566633818099;0,160823595278708;-0,576355773648082
"SGVIproximal";0,699534386104443;0,272320509715247;-0,324871598765335;0,656998316605459;0,0569403119944373;1;-0,502649848055957;-0,00413502678054844;0,797499911995895;-0,516384413066578
"SUVIproximal";-0,745545400489801;-0,491122128318671;0,441680995607915;-0,691861077580038;-0,833284151244869;-0,502649848055957;1;-0,546470332773784;-0,53972105683121;0,782996303265059
"SVIdistal";0,31905305439191;0,396380244333918;-0,230900839444104;0,248962163984687;0,692566633818099;-0,00413502678054844;-0,546470332773784;1;0,0446794236261096;-0,644696463320735
"SGVIdistal";0,702888138603825;0,206463390049487;-0,314937073185468;0,575574749833174;0,160823595278708;0,797499911995895;-0,53972105683121;0,0446794236261096;1;-0,675068430360157
"SUVIdistal";-0,720145722957993;-0,347188252873644;0,382145474199397;-0,571193616747135;-0,576355773648082;-0,516384413066578;0,782996303265059;-0,644696463320735;-0,675068430360157;1
