"";"CR";"AB";"pop";"EVI_mean";"SVIproximal";"SGVIproximal";"SUVIproximal";"SVIdistal";"SGVIdistal";"SUVIdistal"
"CR";1;0,404383126630308;-0,357863210254662;0,623436580508296;0,487554596611476;0,658075669354157;-0,729498407719057;0,363450358933685;0,657931283352018;-0,691710592718467
"AB";0,404383126630308;1;-0,361157106649105;0,465672836017365;0,436847700038767;0,219121059226452;-0,440799481928738;0,359172998991515;0,142269742595506;-0,282220019704906
"pop";-0,357863210254662;-0,361157106649105;1;-0,320118155369178;-0,317478756280714;-0,286103968058046;0,424694310245332;-0,250285767202941;-0,26432931338928;0,345369807878494
"EVI_mean";0,623436580508296;0,465672836017365;-0,320118155369178;1;0,487029558475982;0,578438106092619;-0,669323624175283;0,306264521356556;0,492734712359565;-0,52151455830504
"SVIproximal";0,487554596611476;0,436847700038767;-0,317478756280714;0,487029558475982;1;0,0921028382730362;-0,866505341566014;0,686883480000843;0,192559312726108;-0,591153009751887
"SGVIproximal";0,658075669354157;0,219121059226452;-0,286103968058046;0,578438106092619;0,0921028382730362;1;-0,472065507916346;0,0282510663129975;0,767537516309765;-0,478989562813425
"SUVIproximal";-0,729498407719057;-0,440799481928738;0,424694310245332;-0,669323624175283;-0,866505341566014;-0,472065507916346;1;-0,57142603717387;-0,509642031954508;0,758891738197654
"SVIdistal";0,363450358933685;0,359172998991515;-0,250285767202941;0,306264521356556;0,686883480000843;0,0282510663129975;-0,57142603717387;1;0,0893770320015545;-0,684367389583572
"SGVIdistal";0,657931283352018;0,142269742595506;-0,26432931338928;0,492734712359565;0,192559312726108;0,767537516309765;-0,509642031954508;0,0893770320015545;1;-0,659122056174587
"SUVIdistal";-0,691710592718467;-0,282220019704906;0,345369807878494;-0,52151455830504;-0,591153009751887;-0,478989562813425;0,758891738197654;-0,684367389583572;-0,659122056174587;1
